province,city,suburb,href,sale_href
Eastern Cape,Aberdeen,,/to-rent/aberdeen/eastern-cape/299,/for-sale/aberdeen/eastern-cape/299
Eastern Cape,Adelaide,,/to-rent/adelaide/eastern-cape/258,/for-sale/adelaide/eastern-cape/258
Eastern Cape,Alexandria,,/to-rent/alexandria/eastern-cape/449,/for-sale/alexandria/eastern-cape/449
Eastern Cape,Alice,,/to-rent/alice/eastern-cape/253,/for-sale/alice/eastern-cape/253
Eastern Cape,Alicedale,,/to-rent/alicedale/eastern-cape/462,/for-sale/alicedale/eastern-cape/462
Eastern Cape,Aliwal North,,/to-rent/aliwal-north/eastern-cape/244,/for-sale/aliwal-north/eastern-cape/244
Eastern Cape,Barkly East,,/to-rent/barkly-east/eastern-cape/245,/for-sale/barkly-east/eastern-cape/245
Eastern Cape,Bathurst,,/to-rent/bathurst/eastern-cape/445,/for-sale/bathurst/eastern-cape/445
Eastern Cape,Bedford,,/to-rent/bedford/eastern-cape/259,/for-sale/bedford/eastern-cape/259
Eastern Cape,Bhisho,,/to-rent/bhisho/eastern-cape/247,/for-sale/bhisho/eastern-cape/247
Eastern Cape,Bizana,,/to-rent/bizana/eastern-cape/2481,/for-sale/bizana/eastern-cape/2481
Eastern Cape,Boesmansriviermond,,/to-rent/boesmansriviermond/eastern-cape/452,/for-sale/boesmansriviermond/eastern-cape/452
Eastern Cape,Boknesstrand,,/to-rent/boknesstrand/eastern-cape/451,/for-sale/boknesstrand/eastern-cape/451
Eastern Cape,Burgersdorp,,/to-rent/burgersdorp/eastern-cape/243,/for-sale/burgersdorp/eastern-cape/243
Eastern Cape,Butterworth,,/to-rent/butterworth/eastern-cape/376,/for-sale/butterworth/eastern-cape/376
Eastern Cape,Cala,,/to-rent/cala/eastern-cape/235,/for-sale/cala/eastern-cape/235
Eastern Cape,Cannon Rocks,,/to-rent/cannon-rocks/eastern-cape/450,/for-sale/cannon-rocks/eastern-cape/450
Eastern Cape,Cape St Francis,,/to-rent/cape-st-francis/eastern-cape/679,/for-sale/cape-st-francis/eastern-cape/679
Eastern Cape,Cathcart,,/to-rent/cathcart/eastern-cape/218,/for-sale/cathcart/eastern-cape/218
Eastern Cape,Cedarville,,/to-rent/cedarville/eastern-cape/850,/for-sale/cedarville/eastern-cape/850
Eastern Cape,Cintsa,,/to-rent/cintsa/eastern-cape/821,/for-sale/cintsa/eastern-cape/821
Eastern Cape,Cofimvaba,,/to-rent/cofimvaba/eastern-cape/2486,/for-sale/cofimvaba/eastern-cape/2486
Eastern Cape,Colchester,,/to-rent/colchester/eastern-cape/448,/for-sale/colchester/eastern-cape/448
Eastern Cape,Cookhouse,,/to-rent/cookhouse/eastern-cape/261,/for-sale/cookhouse/eastern-cape/261
Eastern Cape,Cradock,,/to-rent/cradock/eastern-cape/264,/for-sale/cradock/eastern-cape/264
Eastern Cape,Despatch,,/to-rent/despatch/eastern-cape/292,/for-sale/despatch/eastern-cape/292
Eastern Cape,Dordrecht,,/to-rent/dordrecht/eastern-cape/232,/for-sale/dordrecht/eastern-cape/232
Eastern Cape,East London,,/to-rent/east-london/eastern-cape/216,/for-sale/east-london/eastern-cape/216
Eastern Cape,Elliot,,/to-rent/elliot/eastern-cape/236,/for-sale/elliot/eastern-cape/236
Eastern Cape,Elliotdale,,/to-rent/elliotdale/eastern-cape/2491,/for-sale/elliotdale/eastern-cape/2491
Eastern Cape,Engcobo,,/to-rent/engcobo/eastern-cape/381,/for-sale/engcobo/eastern-cape/381
Eastern Cape,Flagstaff,,/to-rent/flagstaff/eastern-cape/2483,/for-sale/flagstaff/eastern-cape/2483
Eastern Cape,Fort Beaufort,,/to-rent/fort-beaufort/eastern-cape/254,/for-sale/fort-beaufort/eastern-cape/254
Eastern Cape,Gamtoos Mouth,,/to-rent/gamtoos-mouth/eastern-cape/2384,/for-sale/gamtoos-mouth/eastern-cape/2384
Eastern Cape,Gqeberha,,/to-rent/gqeberha/eastern-cape/270,/for-sale/gqeberha/eastern-cape/270
Eastern Cape,Graaff-Reinet,,/to-rent/graaff-reinet/eastern-cape/300,/for-sale/graaff-reinet/eastern-cape/300
Eastern Cape,Grahamstown,,/to-rent/grahamstown/eastern-cape/260,/for-sale/grahamstown/eastern-cape/260
Eastern Cape,Haga Haga,,/to-rent/haga-haga/eastern-cape/2508,/for-sale/haga-haga/eastern-cape/2508
Eastern Cape,Hamburg,,/to-rent/hamburg/eastern-cape/250,/for-sale/hamburg/eastern-cape/250
Eastern Cape,Hankey,,/to-rent/hankey/eastern-cape/309,/for-sale/hankey/eastern-cape/309
Eastern Cape,Hewu,,/to-rent/hewu/eastern-cape/2511,/for-sale/hewu/eastern-cape/2511
Eastern Cape,Hofmeyr,,/to-rent/hofmeyr/eastern-cape/267,/for-sale/hofmeyr/eastern-cape/267
Eastern Cape,Hogsback,,/to-rent/hogsback/eastern-cape/255,/for-sale/hogsback/eastern-cape/255
Eastern Cape,Humansdorp,,/to-rent/humansdorp/eastern-cape/303,/for-sale/humansdorp/eastern-cape/303
Eastern Cape,Idutywa,,/to-rent/idutywa/eastern-cape/378,/for-sale/idutywa/eastern-cape/378
Eastern Cape,Indwe,,/to-rent/indwe/eastern-cape/2489,/for-sale/indwe/eastern-cape/2489
Eastern Cape,Jamestown,,/to-rent/jamestown/eastern-cape/242,/for-sale/jamestown/eastern-cape/242
Eastern Cape,Jansenville,,/to-rent/jansenville/eastern-cape/298,/for-sale/jansenville/eastern-cape/298
Eastern Cape,Jeffreys Bay,,/to-rent/jeffreys-bay/eastern-cape/304,/for-sale/jeffreys-bay/eastern-cape/304
Eastern Cape,Joubertina,,/to-rent/joubertina/eastern-cape/312,/for-sale/joubertina/eastern-cape/312
Eastern Cape,Kareedouw,,/to-rent/kareedouw/eastern-cape/311,/for-sale/kareedouw/eastern-cape/311
Eastern Cape,Kaysers Beach,,/to-rent/kaysers-beach/eastern-cape/2178,/for-sale/kaysers-beach/eastern-cape/2178
Eastern Cape,Kei Mouth,,/to-rent/kei-mouth/eastern-cape/2506,/for-sale/kei-mouth/eastern-cape/2506
Eastern Cape,Keiskammahoek,,/to-rent/keiskammahoek/eastern-cape/251,/for-sale/keiskammahoek/eastern-cape/251
Eastern Cape,Kenton On Sea,,/to-rent/kenton-on-sea/eastern-cape/453,/for-sale/kenton-on-sea/eastern-cape/453
Eastern Cape,King Williams Town,,/to-rent/king-williams-town/eastern-cape/246,/for-sale/king-williams-town/eastern-cape/246
Eastern Cape,Kirkwood,,/to-rent/kirkwood/eastern-cape/443,/for-sale/kirkwood/eastern-cape/443
Eastern Cape,Kleinemonde,,/to-rent/kleinemonde/eastern-cape/837,/for-sale/kleinemonde/eastern-cape/837
Eastern Cape,Klipplaat,,/to-rent/klipplaat/eastern-cape/297,/for-sale/klipplaat/eastern-cape/297
Eastern Cape,Komga,,/to-rent/komga/eastern-cape/375,/for-sale/komga/eastern-cape/375
Eastern Cape,Lady Frere,,/to-rent/lady-frere/eastern-cape/2487,/for-sale/lady-frere/eastern-cape/2487
Eastern Cape,Lady Grey,,/to-rent/lady-grey/eastern-cape/717,/for-sale/lady-grey/eastern-cape/717
Eastern Cape,Libode,,/to-rent/libode/eastern-cape/2484,/for-sale/libode/eastern-cape/2484
Eastern Cape,Lusikisiki,,/to-rent/lusikisiki/eastern-cape/371,/for-sale/lusikisiki/eastern-cape/371
Eastern Cape,Macleantown,,/to-rent/macleantown/eastern-cape/217,/for-sale/macleantown/eastern-cape/217
Eastern Cape,Maclear,,/to-rent/maclear/eastern-cape/239,/for-sale/maclear/eastern-cape/239
Eastern Cape,Maluti,,/to-rent/maluti/eastern-cape/2514,/for-sale/maluti/eastern-cape/2514
Eastern Cape,Matatiele,,/to-rent/matatiele/eastern-cape/851,/for-sale/matatiele/eastern-cape/851
Eastern Cape,Mazeppa Bay,,/to-rent/mazeppa-bay/eastern-cape/2512,/for-sale/mazeppa-bay/eastern-cape/2512
Eastern Cape,Middelburg,,/to-rent/middelburg/eastern-cape/265,/for-sale/middelburg/eastern-cape/265
Eastern Cape,Molteno,,/to-rent/molteno/eastern-cape/240,/for-sale/molteno/eastern-cape/240
Eastern Cape,Morgans Bay,,/to-rent/morgans-bay/eastern-cape/2507,/for-sale/morgans-bay/eastern-cape/2507
Eastern Cape,Mount Ayliff,,/to-rent/mount-ayliff/eastern-cape/2510,/for-sale/mount-ayliff/eastern-cape/2510
Eastern Cape,Mount Fletcher,,/to-rent/mount-fletcher/eastern-cape/2409,/for-sale/mount-fletcher/eastern-cape/2409
Eastern Cape,Mount Frere,,/to-rent/mount-frere/eastern-cape/384,/for-sale/mount-frere/eastern-cape/384
Eastern Cape,Mthatha,,/to-rent/mthatha/eastern-cape/386,/for-sale/mthatha/eastern-cape/386
Eastern Cape,Ngqeleni,,/to-rent/ngqeleni/eastern-cape/2485,/for-sale/ngqeleni/eastern-cape/2485
Eastern Cape,Oyster Bay,,/to-rent/oyster-bay/eastern-cape/305,/for-sale/oyster-bay/eastern-cape/305
Eastern Cape,Paterson,,/to-rent/paterson/eastern-cape/444,/for-sale/paterson/eastern-cape/444
Eastern Cape,Pearston,,/to-rent/pearston/eastern-cape/263,/for-sale/pearston/eastern-cape/263
Eastern Cape,Peddie,,/to-rent/peddie/eastern-cape/248,/for-sale/peddie/eastern-cape/248
Eastern Cape,Port Alfred,,/to-rent/port-alfred/eastern-cape/446,/for-sale/port-alfred/eastern-cape/446
Eastern Cape,Port St Johns,,/to-rent/port-st-johns/eastern-cape/387,/for-sale/port-st-johns/eastern-cape/387
Eastern Cape,Qolora Mouth,,/to-rent/qolora-mouth/eastern-cape/2513,/for-sale/qolora-mouth/eastern-cape/2513
Eastern Cape,Queenstown,,/to-rent/queenstown/eastern-cape/219,/for-sale/queenstown/eastern-cape/219
